"contract_id","segment_id","plan_id","contract_year","language_id","plan_cvrg_typ_id","mnthly_prm","ann_ddctbl","icl_lmt","thrshld","copay_amt_inn_prefrd","copay_amt_inn_prefrd_lvl","coins_amt_inn_prefrd","coins_amt_inn_prefrd_lvl","copay_amt_inn_general","copay_amt_inn_general_lvl","coins_amt_inn_general","coins_amt_inn_general_lvl","copay_amt_mail_ordr_prefrd","copay_amt_mail_ordr_prefrd_lvl","coins_amt_mail_ordr_prefrd","coins_amt_mail_ordr_prefrd_lvl","copay_amt_mail_ordr_general","copay_amt_mail_ordr_general_lvl","coins_amt_mail_ordr_general","coins_amt_mail_ordr_general_lvl","is_mdcr_dfnd_std_yn","post_thrshld_mdcr_std_cost"
"H3954","11","156","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H3954","12","156","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H3954","13","156","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H3954","14","156","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H3954","15","156","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H3954","16","156","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H3954","17","156","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H3954","18","156","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H3954","10","157","2019","1","4","52.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3954","11","157","2019","1","4","52.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3954","12","157","2019","1","4","52.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3954","13","157","2019","1","4","52.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3954","14","157","2019","1","4","52.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3954","15","157","2019","1","4","52.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3954","16","157","2019","1","4","52.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3954","17","157","2019","1","4","52.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3954","18","157","2019","1","4","52.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3954","10","158","2019","1","4","38.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3954","11","158","2019","1","4","38.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3954","12","158","2019","1","4","38.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3954","13","158","2019","1","4","38.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3954","14","158","2019","1","4","38.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3954","15","158","2019","1","4","38.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3954","16","158","2019","1","4","38.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3954","17","158","2019","1","4","38.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3954","18","158","2019","1","4","38.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3954","10","159","2019","1","4",".00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3954","11","159","2019","1","4",".00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3954","12","159","2019","1","4",".00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3954","13","159","2019","1","4",".00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3954","14","159","2019","1","4",".00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3954","15","159","2019","1","4",".00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3954","16","159","2019","1","4",".00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3954","17","159","2019","1","4",".00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3954","18","159","2019","1","4",".00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3954","0","801","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H3954","0","802","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H3954","0","805","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H3957","0","003","2019","1","4","100.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$0 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","","1","33%","1","N","1"
"H3957","0","006","2019","1","4","102.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$0 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","","1","33%","1","N","1"
"H3957","0","020","2019","1","4","115.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$0 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","","1","33%","1","N","1"
"H3957","0","021","2019","1","4","116.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$0 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","","1","33%","1","N","1"
"H3957","0","024","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H3957","0","025","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H3957","0","031","2019","1","4","62.00",".00","3820.00","5100.00","$0 - $95","1","33%","1","Information Not Available","1","Information Not Available","1","","1","33%","1","Information Not Available","1","Information Not Available","1","N","1"
"H3957","0","032","2019","1","4","60.00",".00","3820.00","5100.00","$0 - $95","1","33%","1","Information Not Available","1","Information Not Available","1","","1","33%","1","Information Not Available","1","Information Not Available","1","N","1"
"H3957","0","038","2019","1","4",".00",".00","3820.00","5100.00","$0 - $95","1","33%","1","Information Not Available","1","Information Not Available","1","","1","33%","1","Information Not Available","1","Information Not Available","1","N","1"
