"contract_id","segment_id","plan_id","contract_year","language_id","plan_cvrg_typ_id","mnthly_prm","ann_ddctbl","icl_lmt","thrshld","copay_amt_inn_prefrd","copay_amt_inn_prefrd_lvl","coins_amt_inn_prefrd","coins_amt_inn_prefrd_lvl","copay_amt_inn_general","copay_amt_inn_general_lvl","coins_amt_inn_general","coins_amt_inn_general_lvl","copay_amt_mail_ordr_prefrd","copay_amt_mail_ordr_prefrd_lvl","coins_amt_mail_ordr_prefrd","coins_amt_mail_ordr_prefrd_lvl","copay_amt_mail_ordr_general","copay_amt_mail_ordr_general_lvl","coins_amt_mail_ordr_general","coins_amt_mail_ordr_general_lvl","is_mdcr_dfnd_std_yn","post_thrshld_mdcr_std_cost"
"H3924","12","060","2019","1","4",".00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3924","13","060","2019","1","4",".00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3924","14","060","2019","1","4",".00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3924","15","060","2019","1","4",".00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3924","16","060","2019","1","4",".00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3924","17","060","2019","1","4",".00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3924","18","060","2019","1","4",".00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3924","10","062","2019","1","4","45.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3924","11","062","2019","1","4","45.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3924","12","062","2019","1","4","45.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3924","13","062","2019","1","4","45.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3924","14","062","2019","1","4","45.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3924","15","062","2019","1","4","45.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3924","16","062","2019","1","4","45.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3924","17","062","2019","1","4","45.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3924","18","062","2019","1","4","45.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
